0 : 11738 answer  : 11738
1 : 0 answer  : 0
2 : 0 answer  : 0
3 : 0 answer  : 0
4 : 0 answer  : 0
5 : 0 answer  : 0
6 : 0 answer  : 0
7 : 0 answer  : 0
8 : 409 answer  : 409
9 : 0 answer  : 0
10 : 0 answer  : 0
11 : 118 answer  : 118
12 : 0 answer  : 0
13 : 0 answer  : 0
14 : 322 answer  : 322
15 : 230 answer  : 230
16 : 0 answer  : 0
17 : 0 answer  : 0
18 : 0 answer  : 0
19 : 0 answer  : 0
20 : 0 answer  : 0
21 : 0 answer  : 0
22 : 392 answer  : 392
23 : 0 answer  : 0
24 : 0 answer  : 0
25 : 0 answer  : 0
26 : 0 answer  : 0
27 : 13 answer  : 13
28 : 0 answer  : 0
29 : 529 answer  : 529
30 : 0 answer  : 0
31 : 180 answer  : 180
32 : 0 answer  : 0
33 : 83 answer  : 83
34 : 0 answer  : 0
35 : 0 answer  : 0
36 : 131 answer  : 131
37 : 0 answer  : 0
38 : 0 answer  : 0
39 : 0 answer  : 0
40 : 0 answer  : 0
41 : 11 answer  : 11
42 : 0 answer  : 0
43 : 190 answer  : 190
44 : 6 answer  : 6
45 : 0 answer  : 0
46 : 73 answer  : 73
47 : 137 answer  : 137
48 : 0 answer  : 0
49 : 0 answer  : 0
50 : 0 answer  : 0
51 : 6 answer  : 6
52 : 0 answer  : 0
53 : 330 answer  : 330
54 : 35 answer  : 35
55 : 0 answer  : 0
56 : 0 answer  : 0
57 : 0 answer  : 0
58 : 0 answer  : 0
59 : 63 answer  : 63
60 : 0 answer  : 0
61 : 0 answer  : 0
62 : 3 answer  : 3
63 : 194 answer  : 194
64 : 17 answer  : 17
65 : 3 answer  : 3
66 : 0 answer  : 0
67 : 6 answer  : 6
68 : 125 answer  : 125
69 : 0 answer  : 0
70 : 0 answer  : 0
71 : 0 answer  : 0
72 : 0 answer  : 0
73 : 149 answer  : 149
74 : 97 answer  : 97
75 : 0 answer  : 0
76 : 0 answer  : 0
77 : 12 answer  : 12
78 : 4 answer  : 4
79 : 95 answer  : 95
80 : 0 answer  : 0
81 : 79 answer  : 79
82 : 0 answer  : 0
83 : 0 answer  : 0
84 : 20 answer  : 20
85 : 0 answer  : 0
86 : 115 answer  : 115
87 : 1 answer  : 1
88 : 0 answer  : 0
89 : 165 answer  : 165
90 : 61 answer  : 61
91 : 1 answer  : 1
92 : 44 answer  : 44
93 : 69 answer  : 69
94 : 1 answer  : 1
95 : 219 answer  : 219
96 : 0 answer  : 0
97 : 0 answer  : 0
98 : 0 answer  : 0
99 : 0 answer  : 0
100 : 47 answer  : 47
101 : 49 answer  : 49
102 : 118 answer  : 118
103 : 14 answer  : 14
104 : 0 answer  : 0
105 : 0 answer  : 0
106 : 4 answer  : 4
107 : 62 answer  : 62
108 : 121 answer  : 121
109 : 31 answer  : 31
110 : 0 answer  : 0
111 : 164 answer  : 164
112 : 66 answer  : 66
113 : 0 answer  : 0
114 : 195 answer  : 195
115 : 40901 answer  : 40901
116 : 5 answer  : 5
117 : 320 answer  : 320
118 : 673 answer  : 673
119 : 71 answer  : 71
120 : 5 answer  : 5
121 : 0 answer  : 0
122 : 0 answer  : 0
123 : 7 answer  : 7
124 : 25 answer  : 25
125 : 15 answer  : 15
126 : 0 answer  : 0
127 : 200 answer  : 200
128 : 0 answer  : 0
129 : 0 answer  : 0
130 : 0 answer  : 0
131 : 23 answer  : 23
132 : 0 answer  : 0
133 : 0 answer  : 0
134 : 1 answer  : 1
135 : 0 answer  : 0
136 : 0 answer  : 0
137 : 43 answer  : 43
138 : 0 answer  : 0
139 : 15 answer  : 15
140 : 0 answer  : 0
141 : 6 answer  : 6
142 : 1 answer  : 1
143 : 117 answer  : 117
144 : 0 answer  : 0
145 : 0 answer  : 0
146 : 0 answer  : 0
147 : 41 answer  : 41
148 : 1 answer  : 1
149 : 17 answer  : 17
150 : 0 answer  : 0
151 : 0 answer  : 0
152 : 22 answer  : 22
153 : 4 answer  : 4
154 : 0 answer  : 0
155 : 0 answer  : 0
156 : 22 answer  : 22
157 : 0 answer  : 0
158 : 19 answer  : 19
159 : 168 answer  : 168
160 : 0 answer  : 0
161 : 94 answer  : 94
162 : 0 answer  : 0
163 : 21 answer  : 21
164 : 3 answer  : 3
165 : 0 answer  : 0
166 : 46 answer  : 46
167 : 0 answer  : 0
168 : 52 answer  : 52
169 : 3 answer  : 3
170 : 13 answer  : 13
171 : 91 answer  : 91
172 : 14245 answer  : 14245
173 : 0 answer  : 0
174 : 1 answer  : 1
175 : 84 answer  : 84
176 : 0 answer  : 0
177 : 0 answer  : 0
178 : 0 answer  : 0
179 : 0 answer  : 0
180 : 0 answer  : 0
181 : 4 answer  : 4
182 : 0 answer  : 0
183 : 0 answer  : 0
184 : 1 answer  : 1
185 : 0 answer  : 0
186 : 0 answer  : 0
187 : 0 answer  : 0
188 : 0 answer  : 0
189 : 3 answer  : 3
190 : 0 answer  : 0
191 : 332 answer  : 332
192 : 0 answer  : 0
193 : 6 answer  : 6
194 : 0 answer  : 0
195 : 7 answer  : 7
196 : 0 answer  : 0
197 : 0 answer  : 0
198 : 0 answer  : 0
199 : 0 answer  : 0
200 : 0 answer  : 0
201 : 0 answer  : 0
202 : 0 answer  : 0
203 : 12 answer  : 12
204 : 0 answer  : 0
205 : 3 answer  : 3
206 : 0 answer  : 0
207 : 181 answer  : 181
208 : 0 answer  : 0
209 : 1 answer  : 1
210 : 2 answer  : 2
211 : 16 answer  : 16
212 : 5 answer  : 5
213 : 0 answer  : 0
214 : 1012 answer  : 1012
215 : 0 answer  : 0
216 : 0 answer  : 0
217 : 0 answer  : 0
218 : 0 answer  : 0
219 : 0 answer  : 0
220 : 0 answer  : 0
221 : 0 answer  : 0
222 : 0 answer  : 0
223 : 146 answer  : 146
224 : 0 answer  : 0
225 : 0 answer  : 0
226 : 0 answer  : 0
227 : 0 answer  : 0
228 : 0 answer  : 0
229 : 0 answer  : 0
230 : 0 answer  : 0
231 : 0 answer  : 0
232 : 0 answer  : 0
233 : 0 answer  : 0
234 : 0 answer  : 0
235 : 0 answer  : 0
236 : 0 answer  : 0
237 : 0 answer  : 0
238 : 0 answer  : 0
239 : 216 answer  : 216
240 : 0 answer  : 0
241 : 0 answer  : 0
242 : 0 answer  : 0
243 : 0 answer  : 0
244 : 0 answer  : 0
245 : 0 answer  : 0
246 : 0 answer  : 0
247 : 0 answer  : 0
248 : 0 answer  : 0
249 : 0 answer  : 0
250 : 0 answer  : 0
251 : 0 answer  : 0
252 : 0 answer  : 0
253 : 0 answer  : 0
254 : 0 answer  : 0
255 : 141831 answer  : 141831
